system,suite,n,cite_as_thesis,overall_mean,overall_mean_macro,latency_p50_ms,latency_avg_ms,chat,code,translate,instruct,knowledge,alignment,chat_n,code_n,translate_n,instruct_n,knowledge_n,alignment_n,chat_p50_ms,code_p50_ms,translate_p50_ms,instruct_p50_ms,knowledge_p50_ms,alignment_p50_ms,note
aya,mixed_ua_v6_screen,4237,"NO — screening pool, not the frozen v6 suite",0.6459,0.7206,1054.6,2099.4,0.875,0.9531,0.6893,0.5047,0.6317,0.67,32,32,1200,573,1200,1200,3723.3,691.8,404.9,6832.0,1464.2,1111.5,mamay12 knowledge/alignment/code are failed empty generations
lapa,mixed_ua_v6_screen,4237,"NO — screening pool, not the frozen v6 suite",0.6177,0.7111,500.5,3395.1,0.9531,0.9375,0.4406,0.4695,0.7517,0.7142,32,32,1200,573,1200,1200,5862.1,23237.1,1173.4,14142.1,437.1,188.5,mamay12 knowledge/alignment/code are failed empty generations
mamay4,mixed_ua_v6_screen,4237,"NO — screening pool, not the frozen v6 suite",0.608,0.7218,532.0,3153.3,0.9531,0.9844,0.6739,0.571,0.5375,0.6108,32,32,1200,573,1200,1200,3607.7,2571.3,963.9,13612.0,534.3,135.4,mamay12 knowledge/alignment/code are failed empty generations
