system,suite,n,repeats,cite_as_thesis,overall_mean,overall_mean_macro,latency_p50_ms,latency_avg_ms,chat,code,translate,instruct,knowledge,alignment,chat_n,code_n,translate_n,instruct_n,knowledge_n,alignment_n,chat_p50_ms,code_p50_ms,translate_p50_ms,instruct_p50_ms,knowledge_p50_ms,alignment_p50_ms,note
aya,mixed_ua_v6,2414,1,"YES — frozen mixed_ua_v6, 1 pass, T=0, seed=42, max_tokens=1024",0.6667,0.7615,1053.8,2048.9,1.0,1.0,0.6459,0.5148,0.7335,0.675,19,19,683,327,683,683,2222.9,653.0,404.1,6527.9,1336.8,1129.9,dedicated solo on frozen mixed_ua_v6; 1 pass
lapa,mixed_ua_v6,2414,1,"YES — frozen mixed_ua_v6, 1 pass, T=0, seed=42, max_tokens=1024",0.6687,0.7627,504.0,3193.0,1.0,1.0,0.6472,0.5148,0.7379,0.6764,19,19,683,327,683,683,4131.2,23614.0,1112.7,13464.0,440.8,189.7,dedicated solo on frozen mixed_ua_v6; 1 pass
mamay12,mixed_ua_v6,2414,1,"YES — frozen mixed_ua_v6, 1 pass, T=0, seed=42, max_tokens=1024",0.6946,0.7834,492.1,3885.7,1.0,1.0,0.6543,0.5775,0.7804,0.6881,19,19,683,327,683,683,5091.6,2484.6,1336.8,18496.0,188.1,185.2,dedicated solo on frozen mixed_ua_v6; 1 pass
mamay4,mixed_ua_v6,2414,1,"YES — frozen mixed_ua_v6, 1 pass, T=0, seed=42, max_tokens=1024",0.6647,0.7612,539.2,2952.0,1.0,1.0,0.6345,0.524,0.7321,0.6764,19,19,683,327,683,683,3317.9,2490.0,988.4,13150.9,496.7,137.6,dedicated solo on frozen mixed_ua_v6; 1 pass
qwen7,mixed_ua_v6,2414,1,"YES — frozen mixed_ua_v6, 1 pass, T=0, seed=42, max_tokens=1024",0.5937,0.7181,239.9,1044.0,1.0,1.0,0.5514,0.5097,0.6105,0.6369,19,19,683,327,683,683,1698.1,460.3,511.2,4426.9,228.7,53.9,dedicated solo on frozen mixed_ua_v6; 1 pass
